,token_address,name,frequency
74,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,Doodles,135
75,0xc2c747e0f7004f9e8817db2ca4997657a7746928,Hashmasks,135
76,0xfaff15c6cdaca61a4f87d329689293e07c98f578,Zapper NFT,135
77,0xd1d411d2da363144248b98adab453aa3b19ccf04,Rug Radio Membership Pass,134
78,0x8b22ad9bcaefddd7f74fb069d38518c672fa4544,Misfits Ape Society D,134
79,0xc2fc3471bed3dc8cae80eccccfb5d59df0a7fb2e,BadKids,133
80,0x569d8ce79568f5d35cec67228cc1ec04aff026e2,CPBC Col,133
81,0x728f308e300a6562f1763ffb1ce4b3de1007ed24,Gutter Punks Flyer - Doodles,133
82,0xf61f24c2d93bf2de187546b14425bf631f28d6dc,World Of Women Galaxy,131
83,0xed5af388653567af2f388e6224dc7c4b3241c544,Azuki,131
84,0x1dfe7ca09e99d10835bf73044a23b73fc20623df,More Loot,131
85,0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,Cryptoadz,130
86,0xd0a07a76746707f6d6d36d9d5897b14a8e9ed493,Pixel Vault Founder's DAO,130
87,0x1e52f7a450b08b1b249a4f4f54518fc5278c2285,Twin Tigers,129
88,0x9378368ba6b85c1fba5b131b530f5f5bedf21a18,VeeFriends Series 2,129
89,0xd4f3a00b470c9ed76510cc92fd07e59e0a5c34d1,Gutter Punks,128
90,0x54439d4908a3e19356f876aa6022d67d0b3b12d6,Origin Stories 1,128
91,0x4b3406a41399c7fd2ba65cbc93697ad9e7ea61e5,Lost Poets,127
92,0xc143bbfcdbdbed6d454803804752a064a622c1f3,Async Blueprints,127
93,0x7ab2352b1d2e185560494d5e577f9d3c238b78c5,Adam Bomb Squad,127
94,0x65498bf901a0c47ba9507c8a778d2bdee4db12b4,Gutter Punks - WoWG,125
95,0x0ded8542fc8b2b4e781b96e99fee6406550c9b7c,Gutter Punks - BEANZ,124
96,0xb66a603f4cfe17e3d27b87a8bfcad319856518b8,Rarible,124
97,0x2a187453064356c898cae034eaed119e1663acb8,DCL Registrar,124
98,0x32a36ed7904a19808aab85887171a190a0014b6a,Gutter Punks - Chromie Squiggles,124
99,0xaefe84eec5fc9aba7cb1f55fc0ebe4844270695b,pl Misfits Ape Society,123
100,0xfb7d186e24e128be1f1339fb9c2ba6fdbd87c6f9,GRILLZ GANG TICKET,121
101,0xf4bacb2375654ef2459f427c8c6cf34573f75154,TPL Mecha Part,120
102,0xa7206d878c5c3871826dfdb42191c49b1d11f466,LOSTPOETS,120
103,0xe96888e4ecbc20924bc41d6ec8f5d2097e22180d,Gutter Punks - ENS,120
104,0x6913233ada65330adf01f24f715dffcc60497cc8,First Day Out,120
105,0xaad35c2dadbe77f97301617d82e661776c891fa9,Akutars,119
106,0xecbf716c557e5b217df39b9994a3851ef9ef018f,Crypto Bull,118
107,0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,Art Blocks,118
108,0xc2b5ebcc823ff38d4decd8aadbd2017900aedc55,The Misfits Ape Society,117
109,0x8ff1523091c9517bc328223d50b52ef450200339,RugGenesis NFT,117
110,0x7c5700018e7983d115ca039a3afa3cf4d1a8d5b9,Gutter Punks - Treeverse Plots,116
111,0x5355d427c724ab1b11c71bc3ff826586cc3a4a13,CryptoUnicorn,115
112,0xb3592aea045c7509c5d84e57f0b04baa13618bc6,Gutter Punks - Akutars,114
113,0x6802a8d3eaff40e05d126f798d6caca95884212c,FlyFrogs,113
114,0x524cab2ec69124574082676e6f654a18df49a048,LilPudgys,113
115,0xe4605d46fd0b3f8329d936a8b258d69276cba264,Meme Ltd.,112
116,0x931812a8fcf1ab654eeb6d9bd929f7df183be778,CryptoUnicorn,111
117,0x9dfbb95cd2431a1b04cfc8be4edcf8dc5b4feb3d,BadKids,110
118,0xd4d871419714b778ebec2e22c7c53572b573706e,Stoner Cats,110
119,0x099689220846644f87d1137665cded7bf3422747,Robotos,110
120,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,Something,109
121,0xca21d4228cdcc68d4e23807e5e370c07577dd152,Zorbs,108
122,0xec9c519d49856fd2f8133a0741b4dbe002ce211b,Bonsai,107
123,0x892848074ddea461a15f337250da3ce55580ca85,CyberBrokers,106
124,0x572e33ffa523865791ab1c26b42a86ac244df784,Gucci,105
125,0xc92ceddfb8dd984a89fb494c376f9a48b999aafc,Creature World,105
126,0xfdb760b4de27fd1a3377840bf502ebc0732a5d9d,TEST FLIGHT CREW,105
127,0x4f8730e0b32b04beaa5757e5aea3aef970e5b613,Bloot,104
128,0xbe9eac1ce0d844fc120ca1b3a921de483e8c4a05,0N1 Comics,104
129,0x1b829b926a14634d36625e60165c0770c09d02b2,Treeverse,103
130,0x10cdcb5a80e888ec9e9154439e86b911f684da7b,FVCK_AVATAR//,103
131,0x85f740958906b317de6ed79663012859067e745b,TheWickedCraniums,102
132,0xc20cf2cda05d2355e218cb59f119e3948da65dfa,MCP Welcome Pack,102
133,0x3bf2922f4520a8ba0c2efc3d2a1539678dad5e9d,0N1 Force,101
134,0xfbb6684ebd6093989740e8ef3e7d57cf3813e5a4,Bones and Bananas,100
135,0x2acab3dea77832c09420663b0e1cb386031ba17b,DeadFellaz,99
136,0xabc207502ea88d9bca29b95cd2eee5f0d7936418,Yield Guild Badge,98
137,0x93a796b1e846567fe3577af7b7bb89f71680173a,ChainFaces Arena,97
138,0x86825dfca7a6224cfbd2da48e85df2fc3aa7c4b1,RTFKT,97
139,0x82c7a8f707110f5fbb16184a5933e9f78a34c6ab,Emblem Vault V4,96
140,0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42,ForgottenRunesWizardsCult,96
141,0x2079812353e2c9409a788fbf5f383fa62ad85be8,"Bobu, the Bean Farmer",95
142,0x7afeda4c714e1c0a2a1248332c100924506ac8e6,FVCK_CRYSTAL//,95
143,0x066f2d5ead7951f0d0038c19affd500b9f02c0e5,CryptoJanky,95
144,0x7645eec8bb51862a5aa855c40971b2877dae81af,$LONDON Gift,94
145,0x79fcdef22feed20eddacbb2587640e45491b757f,mfer,94
146,0x0574c34385b039c2bb8db898f61b7767024a9449,JOYWORLD JOYtoys,94
147,0xd668a2e001f3385b8bbc5a8682ac3c0d83c19122,KingFrogs,94
148,0x880644ddf208e471c6f2230d31f9027578fa6fcc,Jenkins the Valet,93
149,0x062e691c2054de82f28008a8ccc6d7a1c8ce060d,PudgyPresent,93
150,0x04b4786c3bb42387235a63628b7a4cb178817429,GutterPunks.co,92
151,0xa58b5224e2fd94020cb2837231b2b0e4247301a6,Cryptovoxel Wearables,92
152,0x920a8d9e9f0defd6f86e4388a5503b04cac83b57,DeadFrenz,91
153,0xb004fa889fee195cb580448bfc5dc936efcc835f,the Lobstars,90
154,0xc3f8a0f5841abff777d3eefa5047e8d413a1c9ab,merge.,90
155,0xe3d0fe9b7e0b951663267a3ed1e6577f6f79757e,GeneralCards,89
156,0x80adb36595239fe918c7d118c1f81e07d070801a,HeavenComputer,89
157,0xe785e82358879f061bc3dcac6f0444462d4b5330,World Of Women,88
158,0x3f0785095a660fee131eebcd5aa243e529c21786,Super Yeti,88
159,0x18c7766a10df15df8c971f6e8c1d2bba7c7a410b,Vogu,87
160,0x19bb64b80cbf61e61965b0e5c2560cc7364c6546,CREYZIES,86
161,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,.crypto,85
162,0x715565baf69afcbbe88f56d46f1c9fe2df828705,None,85
163,0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d,Axie,84
164,0x73da73ef3a6982109c4d5bdb0db9dd3e3783f313,My Curio Cards,84
165,0xa1d4657e0e6507d5a94d06da93e94dc7c8c44b51,WebbLand,83
166,0x0161b706371e0725e96c67cf55b2384540374cf1,Tom Sachs: Rocket Factory - Mothership Tickets,83
167,0x080b2b89e7a7014145c198d84f9fbebf124ed2e8,Gutter Punks Flyer - Azuki,83
168,0x092bbc993042a69811d23feb0e64e3bfa0920c6a,Gutter Juice,82
169,0x18df6c571f6fe9283b87f910e41dc5c8b77b7da5,Animetas,82
170,0x45d8f7db9b437efbc74ba6a945a81aaf62dceda7,TheWickedStallions,81
171,0xcbc67ea382f8a006d46eeeb7255876beb7d7f14d,WVRPS by Warpsound,81
172,0x85ff6ec2bd7446c90f24f6a5e5acdd82bcd2d4be,Gutter Punks - WoW,81
173,0xbce6d2aa86934af4317ab8615f89e3f9430914cb,VaynerSports Pass,80
174,0x80416304142fa37929f8a4eee83ee7d2dac12d7c,Generativemasks,80
175,0xbb869f884186c3cba0ffa89ab84980cb86f8744d,Queens+KingsAvatars,80
176,0x704bf12276f5c4bc9349d0e119027ead839b081b,Timeless,79
177,0x4e962d488412a14aa37eacadcb83f18c7e2271a7,Robopets,79
178,0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7,Loot,79
179,0xbbfb6e466f376e493da35b5665dbfc19f7204231,GEN.ART Collection,78
180,0x1eb7382976077f92cf25c27cc3b900a274fd0012,Bored Ape Comic,78
181,0xba5a230e2d29e5629737484364c694381d7875e4,CryptoAds,78
182,0xb8b3059a346edc5f1c0f9daf28a42ed47f6edec0,GutterCatGang,77
183,0xb852c6b5892256c264cc2c888ea462189154d8d7,Rektguy,77
184,0x8796fe42c5871b24d6254fcf96e42fd09ad06a7a,CryptoUnicorn,77
185,0x1e38e9ad28a526512af9b8689c50d91443b6c3db,Pukenza,77
186,0x24d0cbd0d5d7b50212251c5dc7cb810e7af71f6a,Ape Harbour Yachts,77
187,0x0ee24c748445fb48028a74b0ccb6b46d7d3e3b33,NAH FUNGIBLE BONES,77
188,0x797a48c46be32aafcedcfd3d8992493d8a1f256b,MintPassFactory,77
189,0x9690b63eb85467be5267a3603f770589ab12dc95,ForgottenRunesWarriorsGuild,76
190,0xf1f3ca6268f330fda08418db12171c3173ee39c9,Zapper NFT V2,76
191,0x236672ed575e1e479b8e101aeeb920f32361f6f9,Frontier,76
192,0xa310425046661c523d98344f7e9d66b32195365d,Scientists,76
193,0x8887ce34f6f1a4de4e8eb2a9195eeb261c413365,None,76
194,0xe4e50b96f70aab13a2d7e654d07d7d4173319653,Metakrew,75
195,0xfaafdc07907ff5120a76b34b731b278c38d6043c,None,74
196,0xb2d4415a5b0269463f5ab9bcddc3e388caf1be03,Long Neckie Kids,73
197,0xf8b0a49da21e6381f1cd3cf43445800abe852179,CryptoFlyz,73
198,0x94b6f3978b0a32f7fa0b15243e86af1aec23deb5,Akutar Mint Pass,73
199,0xc9eef4c46abcb11002c9bb8a47445c96cdbcaffb,Nametag,73
200,0xa722f8e783d472ab66fb2e4be1c1ca01bd166c3b,JPG People,72
201,0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,Audioglyphs,72
202,0xd193a22224795c43d837a3f3d7394b4d0cc15f60,NYC February 19th 2020,72
203,0xb2c02e550ad5845831d03aa38155fee26931d33e,Bloot Dogg,72
204,0xdd69da9a83cedc730bc4d3c56e96d29acc05ecde,BuildABetterFuture,72
205,0x3213e943a875c7b943608e990a91924692ab7494,Stats,72
206,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,Superlative Secret Society,71
207,0x05e7f2499ff153fea2f20bbde0b5584c911c0af1,Something Token,71
208,0x81dc9934094b65b704ba9388c27089dbe2c5fb6e,NIFTYMOJI LOTTERY,70
209,0x99cd66b3d67cd65fbafbd2fd49915002d4a2e0f2,MEV Army,70
210,0x8184a482a5038b124d933b779e0ea6e0fb72f54e,Wanderers,70
211,0x1f8483664620ff1278f4c1b0d11e4d7daa11a035,3LAND INVENTORY,69
212,0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6,PixelGlyphs,69
213,0xd9c036e9eef725e5aca4a22239a23feb47c3f05d,MidnightBreeze,69
214,0x3a0335409a0becd0da1ff6e442b9b6874d4e87a1,Template,69
215,0xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,goblintown,69
216,0xe5af63234f93afd72a8b9114803e33f6d9766956,fRiENDSiES,69
217,0x75bd294f5adae8428ddcd1431ae2e0d4f5a05707,The Divine Order Of the Zodiac,69
218,0xf78296dfcf01a2612c2c847f68ad925801eeed80,FuckingPickles,69
219,0xe1adfdb71c0a66b4130218922a1a912c0b3003bd,de Misfits Ape Society,69
220,0xccb9d89e0f77df3618eec9f6bf899be3b5561a89,Remember Me,69
221,0x1e9385ee28c5c7d33f3472f732fb08ce3cebce1f,MoonCatLootprint,68
222,0x06b504472050fe77a74e60e2b43feef0eefb5ce1,Gutter Punks - Wassies,68
223,0x1ca39c7f0f65b4da24b094a9afac7acf626b7f38,GEN.ART,68
224,0x77a251ac8a70cf15dd2e80329fa8c464101087b0,Slumboginis,67
